SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,Chromium,94C3CD6E-9C3C-448B-912C-53545252C0D0,Emissions to water/ocean,kg,=,1.0,ecoinventEFv3.7,"Chromium, ion",d98f0ec0-bf19-4c90-a457-a8593dec497f,water/ocean,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Chromium,94C3CD6E-9C3C-448B-912C-53545252C0D0,Emissions to water/lake,kg,=,1.0,ecoinventEFv3.7,"Chromium, ion",e34d3da4-a3d5-41be-84b5-458afe32c990,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Chromium,94C3CD6E-9C3C-448B-912C-53545252C0D0,Emissions to water/river,kg,=,1.0,ecoinventEFv3.7,"Chromium, ion",e34d3da4-a3d5-41be-84b5-458afe32c990,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Chromium,94C3CD6E-9C3C-448B-912C-53545252C0D0,"Emissions to water/river, long-term",kg,=,1.0,ecoinventEFv3.7,"Chromium, ion",e34d3da4-a3d5-41be-84b5-458afe32c990,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Chromium,94C3CD6E-9C3C-448B-912C-53545252C0D0,Emissions to water/(unspecified),kg,=,1.0,ecoinventEFv3.7,"Chromium, ion",30f484ee-dec4-47ae-8e92-d00d4b93fe05,water/unspecified,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Copper,F277F190-A8A4-4A2D-AAF6-F6CB3772A545,Emissions to water/groundwater,kg,=,1.0,ecoinventEFv3.7,"Copper, ion",c3b659e5-35f1-408c-8cb5-b5f9b295c76e,water/ground-,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Copper,F277F190-A8A4-4A2D-AAF6-F6CB3772A545,"Emissions to water/groundwater, long-term",kg,=,1.0,ecoinventEFv3.7,"Copper, ion",40229ebf-9346-4f20-910a-f8ea3bd88d44,"water/ground-, long-term",kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Copper,F277F190-A8A4-4A2D-AAF6-F6CB3772A545,Emissions to water/ocean,kg,=,1.0,ecoinventEFv3.7,"Copper, ion",d8f9ccf6-fd32-4348-83c0-1cee724af9ae,water/ocean,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Copper,F277F190-A8A4-4A2D-AAF6-F6CB3772A545,Emissions to water/lake,kg,=,1.0,ecoinventEFv3.7,"Copper, ion",6d9550e2-e670-44c1-bad8-c0c4975ffca7,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Copper,F277F190-A8A4-4A2D-AAF6-F6CB3772A545,Emissions to water/river,kg,=,1.0,ecoinventEFv3.7,"Copper, ion",6d9550e2-e670-44c1-bad8-c0c4975ffca7,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Copper,F277F190-A8A4-4A2D-AAF6-F6CB3772A545,"Emissions to water/river, long-term",kg,=,1.0,ecoinventEFv3.7,"Copper, ion",6d9550e2-e670-44c1-bad8-c0c4975ffca7,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Copper,F277F190-A8A4-4A2D-AAF6-F6CB3772A545,Emissions to water/(unspecified),kg,=,1.0,ecoinventEFv3.7,"Copper, ion",615b1460-6860-4cf6-8678-ad92c03c5e8b,water/unspecified,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Iron,5B421B92-2E49-48AE-91F1-A0470EF27DD7,Emissions to water/groundwater,kg,=,1.0,ecoinventEFv3.7,"Iron, ion",33fd8342-58e7-45c9-ad92-0951c002c403,water/ground-,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Iron,5B421B92-2E49-48AE-91F1-A0470EF27DD7,"Emissions to water/groundwater, long-term",kg,=,1.0,ecoinventEFv3.7,"Iron, ion",9b6d6f07-ebc6-447d-a3c0-f2017d77d852,"water/ground-, long-term",kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Iron,5B421B92-2E49-48AE-91F1-A0470EF27DD7,Emissions to water/ocean,kg,=,1.0,ecoinventEFv3.7,"Iron, ion",2c9a7182-37c8-4777-a37a-9a007c3edb2f,water/ocean,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Iron,5B421B92-2E49-48AE-91F1-A0470EF27DD7,Emissions to water/lake,kg,=,1.0,ecoinventEFv3.7,"Iron, ion",7c335b9c-a403-47a8-bb6d-2e7d3c3a230e,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Iron,5B421B92-2E49-48AE-91F1-A0470EF27DD7,Emissions to water/river,kg,=,1.0,ecoinventEFv3.7,"Iron, ion",7c335b9c-a403-47a8-bb6d-2e7d3c3a230e,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Iron,5B421B92-2E49-48AE-91F1-A0470EF27DD7,"Emissions to water/river, long-term",kg,=,1.0,ecoinventEFv3.7,"Iron, ion",7c335b9c-a403-47a8-bb6d-2e7d3c3a230e,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Iron,5B421B92-2E49-48AE-91F1-A0470EF27DD7,Emissions to water/(unspecified),kg,=,1.0,ecoinventEFv3.7,"Iron, ion",de444dc0-5964-4501-8367-50ba53bfc6b9,water/unspecified,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Lithium,87F4839B-EED8-4C40-B0CE-D3FF69DFFC3A,Emissions to water/groundwater,kg,=,1.0,ecoinventEFv3.7,"Lithium, ion",09cf7c11-0269-4fc1-a5f3-47121a7882d3,water/ground-,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Lithium,87F4839B-EED8-4C40-B0CE-D3FF69DFFC3A,"Emissions to water/groundwater, long-term",kg,=,1.0,ecoinventEFv3.7,"Lithium, ion",c44b0e3b-e65e-4276-aa1f-3db768757b66,"water/ground-, long-term",kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Lithium,87F4839B-EED8-4C40-B0CE-D3FF69DFFC3A,Emissions to water/ocean,kg,=,1.0,ecoinventEFv3.7,"Lithium, ion",cf88e72e-13bc-416c-ac41-7d4b24bda86a,water/ocean,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Lithium,87F4839B-EED8-4C40-B0CE-D3FF69DFFC3A,Emissions to water/lake,kg,=,1.0,ecoinventEFv3.7,"Lithium, ion",e98084d6-88a2-48cf-9ad5-6462fe9cf857,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Lithium,87F4839B-EED8-4C40-B0CE-D3FF69DFFC3A,Emissions to water/river,kg,=,1.0,ecoinventEFv3.7,"Lithium, ion",e98084d6-88a2-48cf-9ad5-6462fe9cf857,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Lithium,87F4839B-EED8-4C40-B0CE-D3FF69DFFC3A,"Emissions to water/river, long-term",kg,=,1.0,ecoinventEFv3.7,"Lithium, ion",e98084d6-88a2-48cf-9ad5-6462fe9cf857,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Lithium,87F4839B-EED8-4C40-B0CE-D3FF69DFFC3A,Emissions to water/(unspecified),kg,=,1.0,ecoinventEFv3.7,"Lithium, ion",eb2bfdf1-1881-40e8-bebb-d674b2a79149,water/unspecified,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Nickel,85D53983-1843-4FB4-ADF3-90C6612FF7D2,Emissions to water/groundwater,kg,=,1.0,ecoinventEFv3.7,"Nickel, ion",e030108f-2125-4bcb-a73b-ad72130fcca3,water/ground-,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Nickel,85D53983-1843-4FB4-ADF3-90C6612FF7D2,"Emissions to water/groundwater, long-term",kg,=,1.0,ecoinventEFv3.7,"Nickel, ion",9f69cb8e-51fe-447b-a1ac-4da74de8ebe4,"water/ground-, long-term",kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Nickel,85D53983-1843-4FB4-ADF3-90C6612FF7D2,Emissions to water/ocean,kg,=,1.0,ecoinventEFv3.7,"Nickel, ion",23cb10a4-6228-4ce4-9fb5-7043bc31faec,water/ocean,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Nickel,85D53983-1843-4FB4-ADF3-90C6612FF7D2,Emissions to water/lake,kg,=,1.0,ecoinventEFv3.7,"Nickel, ion",9798359e-a3ee-4362-a038-23a188582c6e,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Nickel,85D53983-1843-4FB4-ADF3-90C6612FF7D2,Emissions to water/river,kg,=,1.0,ecoinventEFv3.7,"Nickel, ion",9798359e-a3ee-4362-a038-23a188582c6e,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Nickel,85D53983-1843-4FB4-ADF3-90C6612FF7D2,"Emissions to water/river, long-term",kg,=,1.0,ecoinventEFv3.7,"Nickel, ion",9798359e-a3ee-4362-a038-23a188582c6e,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Nickel,85D53983-1843-4FB4-ADF3-90C6612FF7D2,Emissions to water/(unspecified),kg,=,1.0,ecoinventEFv3.7,"Nickel, ion",6ec6cdaa-5a01-46d4-b716-1905e56690ea,water/unspecified,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Perchlorate,2CF34936-6AE3-459F-9163-313D3358EE58,Emissions to water/groundwater,kg,=,1.0,ecoinventEFv3.7,"Perchlorate, ion",74f5020d-ee9e-400b-9e64-03dead9e4ffa,water/ground-,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Perchlorate,2CF34936-6AE3-459F-9163-313D3358EE58,"Emissions to water/groundwater, long-term",kg,=,1.0,ecoinventEFv3.7,"Perchlorate, ion",fa30d40e-91e8-4a8a-b9e1-f1a6b330a096,"water/ground-, long-term",kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Perchlorate,2CF34936-6AE3-459F-9163-313D3358EE58,Emissions to water/ocean,kg,=,1.0,ecoinventEFv3.7,"Perchlorate, ion",de333139-a26f-42de-ba1b-c7c24c2964bc,water/ocean,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Perchlorate,2CF34936-6AE3-459F-9163-313D3358EE58,Emissions to water/lake,kg,=,1.0,ecoinventEFv3.7,"Perchlorate, ion",b59faa48-28a7-485e-b8c1-6284dff23282,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Perchlorate,2CF34936-6AE3-459F-9163-313D3358EE58,Emissions to water/river,kg,=,1.0,ecoinventEFv3.7,"Perchlorate, ion",b59faa48-28a7-485e-b8c1-6284dff23282,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Perchlorate,2CF34936-6AE3-459F-9163-313D3358EE58,"Emissions to water/river, long-term",kg,=,1.0,ecoinventEFv3.7,"Perchlorate, ion",b59faa48-28a7-485e-b8c1-6284dff23282,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Perchlorate,2CF34936-6AE3-459F-9163-313D3358EE58,Emissions to water/(unspecified),kg,=,1.0,ecoinventEFv3.7,"Perchlorate, ion",4f722a22-e077-4626-830a-c57d856decc0,water/unspecified,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Potassium,46F50F0A-22A6-456F-8DEB-5703925FD3A8,Emissions to water/groundwater,kg,=,1.0,ecoinventEFv3.7,"Potassium, ion",a07b8a8c-8cab-4656-a82f-310e8069e323,water/ground-,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Potassium,46F50F0A-22A6-456F-8DEB-5703925FD3A8,"Emissions to water/groundwater, long-term",kg,=,1.0,ecoinventEFv3.7,"Potassium, ion",b93fc4df-91b2-4ac4-a315-89147515ddfb,"water/ground-, long-term",kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Potassium,46F50F0A-22A6-456F-8DEB-5703925FD3A8,Emissions to water/ocean,kg,=,1.0,ecoinventEFv3.7,"Potassium, ion",297cc04f-e215-433c-ae3b-d1e34464c785,water/ocean,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Potassium,46F50F0A-22A6-456F-8DEB-5703925FD3A8,Emissions to water/lake,kg,=,1.0,ecoinventEFv3.7,"Potassium, ion",1653bf60-f682-4088-b02d-6dc44eae2786,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
