Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
Methyl borate,000121-43-7,,,kg,chemical,,,"water/ground-, long-term",059d4f43-8764-4b5e-95eb-c94df9913a55,,,1212-43-7; 3349-42-6; 121-43-7
Methyl borate,000121-43-7,,,kg,chemical,,,water/ocean,25577c13-5625-41cf-a921-9e82f81d2131,,,1212-43-7; 3349-42-6; 121-43-7
Methyl borate,000121-43-7,,,kg,chemical,,,water/surface water,931f666b-6665-48a5-8fb0-7beced65c144,,,1212-43-7; 3349-42-6; 121-43-7
Methyl borate,000121-43-7,,,kg,chemical,,,water/unspecified,d5a6fcba-b958-4b06-b193-b712eeb65cf4,,,1212-43-7; 3349-42-6; 121-43-7
"Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground",007439-98-7,,,kg,geological,,0.0,natural resource/in ground,eda28c96-8899-4d84-bf18-35c3f1de518e,,,
Naphtalene,000091-20-3,C10H8,"bicyclo(4.4.0)deca-1,3,5,7,9-pentene",kg,chemical,,,air/unspecified,7346ba9f-476c-4343-9f37-d1bb174eed6d,,,72931-45-4; 25135-16-4; 1683-98-3; 91-20-3; 91-20-3
"Neodymium, 4% in bastnasite, 0.4% in crude ore, in ground",007440-00-8,,,kg,geological,,0.0,natural resource/in ground,c970e81e-1c4e-4f21-814c-0c25444f41d2,,,
"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground",007440-02-0,,,kg,geological,,0.0,natural resource/in ground,0d7f8b87-12f4-4e83-a5a2-854e2f2b47de,,,
"Ni, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore, in ground",007440-02-0,,,kg,geological,,0.0,natural resource/in ground,febbfa6e-44d4-42a0-abcd-aec8a428f75e,,,
"Nickel, ion",014701-22-5,,,kg,chemical,,,water/ground-,e030108f-2125-4bcb-a73b-ad72130fcca3,,,
"Nickel, ion",014701-22-5,,,kg,chemical,,,"water/ground-, long-term",9f69cb8e-51fe-447b-a1ac-4da74de8ebe4,,,
"Nickel, ion",014701-22-5,,,kg,chemical,,,water/ocean,23cb10a4-6228-4ce4-9fb5-7043bc31faec,,,
"Nickel, ion",014701-22-5,,,kg,chemical,,,water/surface water,9798359e-a3ee-4362-a038-23a188582c6e,,,
"Nickel, ion",014701-22-5,,,kg,chemical,,,water/unspecified,6ec6cdaa-5a01-46d4-b716-1905e56690ea,,,
Nitrogen,007727-37-9,N,,kg,chemical,,,natural resource/in air,e3f5fd63-7dcb-41f1-9b8a-a48a8d68bc65,,,7727-37-9
"NMVOC, non-methane volatile organic compounds, unspecified origin",,,not including single substances,kg,group,,,"air/low population density, long-term",3f5339ef-1939-4f44-8cd6-98ac7584d456,,,
"NMVOC, non-methane volatile organic compounds, unspecified origin",,,not including single substances,kg,group,,,air/lower stratosphere + upper troposphere,36c96aed-9335-4564-8cdd-46f01a13700c,,,
"NMVOC, non-methane volatile organic compounds, unspecified origin",,,,kg,group,,,air/non-urban air or from high stacks,33b38ccb-593b-4b11-b965-10d747ba3556,,,
"NMVOC, non-methane volatile organic compounds, unspecified origin",,,,kg,group,,,air/unspecified,d3260d0e-8203-4cbb-a45a-6a13131a5108,,,
"NMVOC, non-methane volatile organic compounds, unspecified origin",,,,kg,group,,,air/urban air close to ground,175baa64-d985-4c5e-84ef-67cc3a1cf952,,,
"Occupation, arable land, unspecified use",,,,m2*a,land,,,natural resource/land,8c173ca1-5f74-4a6e-89e5-dd18e0f18d1a,,,
"Occupation, arable, conservation tillage (obsolete)",,,,m2,land,,,natural resource/land,fdb1b2d0-f537-401e-b845-1d93da512174,,,
"Occupation, arable, conventional tillage (obsolete)",,,,m2,land,,,natural resource/land,e489cce4-a80f-417d-9ae6-9fc14cc7dd49,,,
"Occupation, arable, reduced tillage (obsolete)",,,,m2,land,,,natural resource/land,81e07a67-28e0-4392-a553-d86e54a9b8a9,,,
"Occupation, bare area (non-use)",,,,m2*a,land,,,natural resource/land,c991a302-884f-4882-a094-e1b8f1d4c6b0,,,
"Occupation, field margin/hedgerow",,,,m2*a,land,,,natural resource/land,8222627a-0ca1-4632-894c-94d0e21064a1,,,
"Occupation, lake, artificial",,,,m2*a,land,,,natural resource/land,69dfa439-8e4e-4cae-bb0c-85a8aa8b9a73,,,
"Occupation, lake, natural (non-use)",,,,m2*a,land,,,natural resource/land,f8ba8266-7f00-47b8-9ef0-bc81a8728d09,,,
"Occupation, river, artificial",,,,m2*a,land,,,natural resource/land,c14ea750-4a9f-41fa-bcc1-4a1d84466f43,,,
"Occupation, river, natural (non-use)",,,,m2*a,land,,,natural resource/land,d54bb4f8-e6d9-46dc-a8ae-e70d5d8562c2,,,
"Occupation, seabed, natural (non-use)",,,,m2*a,land,,,natural resource/land,76e1a3ec-8bf5-4eae-92f0-1020ccd46e61,,,
"Occupation, seabed, unspecified",,,,m2*a,land,,,natural resource/land,7af0b1a6-2e8f-407a-8ac7-b02a2023155b,,,
"Occupation, snow and ice (non-use)",,,,m2*a,land,,,natural resource/land,817ebb8a-027d-4e4f-89c1-fe5548abcd0b,,,
"Occupation, urban, green area",,,,m2*a,land,,,natural resource/land,190d9910-5d04-4c97-abea-3b39682b7ed6,,,
"Occupation, wetland, coastal (non-use)",,,,m2*a,land,,,natural resource/land,54dfbd2f-8218-4f2f-87f8-d928d8056e8e,,,
